,Unnamed: 0,readable,energies
0,0,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 6, 'F': 14, 'Mg': 5}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (1.8056997705250977, 1.8056997705250977, 66.89691499471665), (90.0, 90.0, 120.0)",-3.454162359237671
1,1,"Stage.LATTICE_PARAMETERS; Composition = {'O': 16, 'F': 14, 'Mg': 16, 'Fe': 2}; SpaceGroup = 87 | I4/m | tetragonal (4) | centrosymmetric (2) | tetragonal-dipyramidal | 4/m; LatticeParameters = (1.7284014588221908, 1.7284014588221908, 33.95492079257965), (90.0, 90.0, 90.0)",-3.0305893421173096
2,2,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 5, 'O': 6, 'F': 15, 'Si': 5}; SpaceGroup = 150 | P321 | trigonal-hexagonal (6) | enantiomorphic (4) | trigonal-trapezohedral | 321; LatticeParameters = (7.643996891379357, 7.643996891379357, 46.705554383993146), (90.0, 90.0, 120.0)",-3.41593861579895
3,3,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 8, 'F': 16, 'Mg': 12, 'Cl': 4}; SpaceGroup = 164 | P-3m1 | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -3m1; LatticeParameters = (3.387013155594468, 3.387013155594468, 10.665948306024074), (90.0, 90.0, 120.0)",-2.922651052474976
4,4,"Stage.LATTICE_PARAMETERS; Composition = {'O': 6, 'F': 14, 'Si': 8, 'Cl': 2}; SpaceGroup = 176 | P6_3/m | hexagonal (7) | centrosymmetric (2) | hexagonal-dipyramidal | 6/m; LatticeParameters = (11.506101199239492, 11.506101199239492, 91.21973608732223), (90.0, 90.0, 120.0)",-3.583028793334961
5,5,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 4, 'O': 9, 'F': 9, 'Si': 7}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (14.10850815027952, 14.10850815027952, 98.52299367785454), (90.0, 90.0, 120.0)",-3.423098564147949
6,6,"Stage.LATTICE_PARAMETERS; Composition = {'O': 6, 'F': 16, 'Mg': 12, 'Si': 3}; SpaceGroup = 150 | P321 | trigonal-hexagonal (6) | enantiomorphic (4) | trigonal-trapezohedral | 321; LatticeParameters = (2.5517512941733003, 2.5517512941733003, 42.67249857485294), (90.0, 90.0, 120.0)",-3.3991472721099854
7,7,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 1, 'F': 11, 'Mg': 13, 'S': 1, 'Cl': 8}; SpaceGroup = 150 | P321 | trigonal-hexagonal (6) | enantiomorphic (4) | trigonal-trapezohedral | 321; LatticeParameters = (16.438816685974597, 16.438816685974597, 94.78160188794136), (90.0, 90.0, 120.0)",-2.711911678314209
8,8,"Stage.LATTICE_PARAMETERS; Composition = {'H': 4, 'O': 12, 'F': 13, 'Mg': 11, 'S': 2}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (1.7817570282146336, 1.7817570282146336, 41.80057806372642), (90.0, 90.0, 120.0)",-2.969313621520996
9,9,"Stage.LATTICE_PARAMETERS; Composition = {'O': 9, 'F': 14, 'Mg': 9, 'Si': 5, 'S': 7}; SpaceGroup = 164 | P-3m1 | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -3m1; LatticeParameters = (3.841931535489857, 3.841931535489857, 49.9516504317522), (90.0, 90.0, 120.0)",-3.021984100341797
