a,b,c,alpha,beta,gamma
2.9609735,6.0043516,10.439968,97.81494,96.95513,93.13123
10.272509,10.272509,10.272509,90.0,90.0,90.0
10.51962,10.965355,12.389868,90.0,90.0,90.0
9.337114,9.337114,9.191826,90.0,90.0,90.0
4.48647,4.48647,9.954335,90.0,90.0,90.0
9.788298,5.6001067,11.3030405,90.0,125.06345,90.0
11.169285,11.465602,17.603186,108.94565,108.36755,90.009995
5.80588,5.80588,5.80588,90.0,90.0,90.0
4.2191253,7.7905655,16.35395,90.0,90.0,90.0
5.020237,6.875209,18.176805,90.0,92.182945,90.0
8.60573,8.60573,20.29747,90.0,90.0,120.0
8.735986,8.735986,4.324608,90.0,90.0,90.0
5.119454,5.119454,6.3495092,90.0,90.0,120.0
8.624699,9.343048,10.047661,90.0,95.37198,90.0
4.787538,4.787538,8.465375,90.0,90.0,90.0
5.9862833,5.9862833,5.164278,90.0,90.0,120.0
15.52208,4.1922565,9.943147,90.0,127.90844,90.0
10.26367,9.060249,5.290122,90.0,111.41732,90.0
5.086873,8.832854,10.103343,90.0,98.38788,90.0
2.7636871,2.7636871,2.7636871,90.0,90.0,90.0
4.114108,4.114108,23.3117,90.0,90.0,120.0
5.7461877,5.7461877,4.69579,90.0,90.0,120.0
3.9428504,3.9428504,3.9428504,90.0,90.0,90.0
3.8312502,5.50108,11.476787,90.0,90.0,90.0
5.713325,8.715265,6.7872105,90.0,101.47919,90.0
6.7295413,6.7295413,17.917833,90.0,90.0,120.0
8.529227,8.532234,11.891419,89.993774,89.95402,89.98644
7.0947456,7.0947456,7.0947456,90.0,90.0,90.0
4.2607217,4.2607217,12.904108,90.0,90.0,90.0
5.156001,5.5919266,25.610937,92.912476,90.14696,117.34339
11.139421,11.139421,17.555788,90.0,90.0,120.0
8.681689,8.681689,8.373782,90.0,90.0,90.0
7.1868696,7.546989,10.779882,94.586655,106.02583,108.62888
8.657969,8.657969,22.637205,90.0,90.0,120.0
4.5644484,4.5078106,10.36925,90.0,114.9525,90.0
2.992497,2.992497,7.4839754,90.0,90.0,90.0
6.049909,9.382841,9.542709,90.0,90.0,90.0
9.9321165,5.745482,14.433032,90.0,117.62708,90.0
4.7178974,8.11016,10.503088,90.0,111.74205,90.0
4.3786716,4.3786716,4.3786716,90.0,90.0,90.0
6.393104,6.393104,6.393104,90.0,90.0,90.0
8.177563,8.177563,17.505524,90.0,90.0,90.0
11.023607,11.023607,11.023607,90.0,90.0,90.0
4.356899,4.356899,8.189412,90.0,90.0,90.0
5.9510794,5.9510794,4.579602,90.0,90.0,120.0
14.9270525,14.9270525,9.3038025,90.0,90.0,120.0
5.152996,5.152996,4.012904,90.0,90.0,120.0
6.294662,9.378381,6.4486985,90.0,91.522484,90.0
