a,b,c,alpha,beta,gamma
15.665044007030977,3.0292840018491165,5.63711369,90.0,107.84664337696952,90.0
8.901296001455494,8.901296001455494,5.199118000802711,90.0,90.0,90.0
5.889383995175334,5.889383995175334,5.889383995175334,90.0,90.0,90.0
3.858783,5.345396,12.343091,90.0,90.0,90.0
8.779523999253911,8.779523999253911,8.713185999332506,90.0,90.0,90.0
4.299534000394549,9.714712002443656,12.384138002374552,90.0,90.0,90.0
8.4183617,8.4183617,3.403761,90.0,90.0,120.0
6.001102003574631,10.351844005220087,5.9525281,90.0,109.84717884762432,90.0
6.67033,3.935757,9.94385815,90.0,91.33327454000003,90.0
5.013843999132298,8.400773997800215,4.004424,90.0,90.0,90.0
6.397893379999999,7.75471327,7.830327649106335,80.89095579057489,113.80374814247084,114.1920837
4.336205,4.498197,13.031643,90.0,90.0,90.0
4.51430988,4.51430988,10.284149,90.0,90.0,120.0
3.1530205,3.1530205,5.124253,90.0,90.0,120.0
12.03700799717621,12.03700799717621,12.03700799717621,90.0,90.0,90.0
4.251551999774364,4.251551999774364,9.986561999129387,90.0,90.0,90.0
4.48471018,4.48471018,7.381589,90.0,90.0,120.0
5.475170236105159,5.475170236105159,18.637258813717622,90.0,90.0,120.0
6.47425000269124,6.47425000269124,6.47425000269124,90.0,90.0,90.0
5.397527,5.397527,7.454301,90.0,90.0,90.0
5.741837,3.270839,6.47423013,90.0,90.13558824,90.0
5.878142001446097,5.878142001446097,5.878142001446097,90.0,90.0,90.0
3.2596700004771373,16.58965999912778,5.178714,90.0,90.0,90.0
5.649399,4.772748,5.65908464,90.0,114.63767358,90.0
4.75322646,4.75322646,5.641794,90.0,90.0,120.0
7.22309545,7.22309545,4.334384,90.0,90.0,120.0
9.347282003022238,9.347282003022238,9.347282003022238,90.0,90.0,90.0
5.609842940000001,5.7746200000000005,9.772133952831776,90.0,124.31072381412268,90.0
6.359207992551239,6.359207992551239,17.683084499287265,90.0,90.0,120.0
6.5492999971361385,6.5492999971361385,6.5492999971361385,90.0,90.0,90.0
3.70796845,3.70796845,7.134668,90.0,90.0,120.0
9.658571501441305,4.178368,6.77695709602777,90.0,129.0149750478526,90.0
4.823233999999999,4.823233999999999,4.823233999999999,90.0,90.0,90.0
7.658064006843976,7.658064006843976,7.658064006843976,90.0,90.0,90.0
6.386779725090143,6.386779725090143,31.38836215509075,90.0,90.0,120.0
4.0052798,4.0052798,5.015049,90.0,90.0,120.0
5.789851,9.990775,6.737701839999999,90.0,98.16032402000005,90.0
6.271325999999999,6.271325999999999,6.271325999999999,90.0,90.0,90.0
7.460067998150959,7.460067998150959,7.460067998150959,90.0,90.0,90.0
5.383553910643824,5.383553910643824,16.25634587206894,90.0,90.0,120.0
6.384848003329956,6.384848003329956,6.384848003329956,90.0,90.0,90.0
4.252747999967931,5.944550000825027,12.588210001572753,90.0,90.0,90.0
8.474191729638072,8.648208004953934,6.25969646,90.0,130.57830418595,90.0
4.40690416,4.40690416,5.104419,90.0,90.0,120.0
4.441736679999999,4.441736679999999,7.152151,90.0,90.0,120.0
5.584659997735141,5.584659997735141,7.950169995885219,90.0,90.0,90.0
5.172578003065552,8.516102005190374,10.8812120058782,90.0,90.0,90.0
4.896408401318052,4.896408401318052,23.60577823217704,90.0,90.0,120.0
4.100263998318557,4.100263998318557,9.934859996087836,90.0,90.0,90.0
9.19593399200524,5.218229995721375,8.777850320000002,90.0,107.23335433901342,90.0
8.143584500725412,8.143584500725412,16.324974007549027,90.0,90.0,90.0
5.8165139967947,5.8165139967947,5.8165139967947,90.0,90.0,90.0
6.450910049999999,6.450910049999999,7.715533,90.0,90.0,120.0
4.263220202494926,4.263220202494926,32.21123580743988,90.0,90.0,120.0
5.192322469999999,6.689975419999999,6.692759039999999,85.64142762,81.38299526000002,81.6477913
5.58174305,5.58174305,3.724608,90.0,90.0,120.0
5.07527745,5.11510827,7.844477040409856,71.91676734459585,71.51526351289158,80.14996462
3.888859999917405,3.888859999917405,23.41474599675688,90.0,90.0,90.0
5.22515800125075,5.22515800125075,17.07959600208971,90.0,90.0,90.0
8.562773,4.280068,8.638091660000002,90.0,90.21115288,90.0
2.8241888899999994,2.8241888899999994,4.964323,90.0,90.0,120.0
5.942330042487159,5.942330042487159,19.37814177962512,90.0,90.0,120.0
3.701193999931115,3.701193999931115,13.93744599747925,90.0,90.0,90.0
4.259036001835308,4.259036001835308,16.433294005027477,90.0,90.0,90.0
6.31479981,6.31479981,5.047708,90.0,90.0,120.0
5.216429,7.38235,5.36350923,90.0,90.01685701,90.0
5.898996138369068,5.90493751,5.918890025892583,60.011766961556646,60.11601278591077,60.22834697715822
4.16257415,4.16257415,8.917933,90.0,90.0,120.0
5.0587939977467125,5.0587939977467125,16.385117991161263,90.0,90.0,90.0
7.453258199999999,7.453258199999999,7.430384,90.0,90.0,120.0
4.21571587,4.21571587,17.581739,90.0,90.0,120.0
3.989546,6.591333,7.450976,90.0,90.0,90.0
7.434116,7.434116,4.164073,90.0,90.0,90.0
10.696089998328937,10.696089998328937,10.696089998328937,90.0,90.0,90.0
4.6713035000000005,4.6713035000000005,9.217036,90.0,90.0,90.0
3.50032716,3.50032716,39.608307,90.0,90.0,120.0
5.231439871879088,5.231439871879088,12.727751466630188,90.0,90.0,120.0
14.38237800973381,3.3795960018633275,5.632040819999999,90.0,108.0899575034526,90.0
