a,b,c,alpha,beta,gamma
6.3978934,7.8617916,7.754713,100.12584,114.192085,65.68166
5.1923223,6.692759,6.6899753,85.641426,81.64779,81.382996
5.0752773,5.1151085,7.924044,109.76943,78.26182,80.14996
5.919327,5.9129777,5.9049377,119.88881,89.716606,60.069046
5.25244,5.2595744,5.2616673,70.467804,60.401814,80.44671
4.266817,6.669582,8.266012,98.07179,89.28995,107.8447
5.893282,6.8103566,8.333347,107.92553,110.638756,89.940056
5.168738,5.094752,7.8296156,110.08358,102.97698,98.50346
5.46281,5.5276318,10.892589,91.75705,91.67764,118.34329
4.8071632,5.759621,8.400971,103.21941,90.00496,90.035835
3.0246346,12.547194,6.0251164,102.82076,89.97222,90.01686
5.504775,5.7303157,7.9862194,89.80295,89.89012,89.27278
5.193793,5.2362046,7.9875174,108.13991,89.292114,93.46978
5.237001,5.254547,7.253863,105.067566,108.90847,98.111916
5.402739,5.686336,7.610526,103.42623,106.50203,97.32936
5.53594,5.580624,7.362552,73.48855,72.06133,71.59998
5.564105,5.569965,7.2228208,104.08397,104.23013,105.66341
4.820589,5.7898293,7.9663925,86.412735,89.670044,88.71364
5.258204,5.378117,5.649431,89.83851,66.42014,89.7078
4.241457,4.2635307,7.679649,89.148506,89.597115,68.38104
5.480088,5.5646615,6.036589,90.15586,116.684235,91.791046
5.5384364,5.7999253,9.332137,107.43101,90.25807,64.587715
5.3751335,5.617439,8.44172,109.41056,108.54649,90.29095
3.982947,4.136958,9.214408,103.01971,90.02326,89.99567
7.512559,4.594554,5.9139686,93.73919,89.237236,89.29178
6.630959,6.63777,9.437664,77.85183,77.81578,61.41311
6.8867745,6.7666373,8.576438,74.15569,82.30195,60.707886
5.758041,5.8915033,7.0148697,100.44839,94.67159,106.52654
5.133697,5.4930286,7.4943676,95.49596,90.01665,90.10836
4.889133,5.5239425,8.149514,91.39413,93.525856,107.95166
5.874064,6.0326834,8.389434,90.13176,90.085625,90.06141
3.099302,6.620948,6.376321,61.409313,88.413994,113.52461
5.125761,5.380593,7.4680963,93.73765,90.073494,90.29188
5.9764075,5.976501,8.443598,90.22491,89.801094,89.79609
3.512775,8.8303175,9.1034565,104.053566,101.04142,90.2523
4.909249,5.610879,6.2504196,106.53278,87.18385,112.393
5.111877,5.1482224,7.814213,74.17476,74.873215,78.96813
7.354552,9.919434,7.791358,69.657684,76.52001,100.704865
6.605617,8.120346,12.407466,102.340004,93.425316,111.73382
6.0849276,6.221932,8.744038,90.489876,89.46254,89.85309
5.867935,6.008976,8.394801,90.09356,89.62854,90.01677
5.726483,5.7226377,9.707628,89.809456,89.71406,59.961792
